date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1978m06,-0.26,-2.81,-1.47,-3.74,-0.35,-1.53,-1.97,1.14,0.84,-1.69,1.56,0.57,-1.4,-0.07,0.54,2.74,0.82648173
1978m07,3.53,4.71,7.84,3.34,8.58,1.42,5.14,8.86,2.83,5.11,0.12,-1.15,1.55,-0.78,0.56,4.17,0.588541739
1978m08,4.14,2.98,3.94,5.09,6.01,3.55,5.71,0.99,0.46,3.75,4.95,-0.51,1.43,0.46,0.56,2.83,0.155524393
1978m09,-0.38,-0.5,-2.1,4.77,-4.15,1.22,-2.66,-2.75,-0.24,-1.43,-0.32,1.89,-0.67,1.78,0.62,-3.14,0.10584423
1978m10,-11.58,-11.17,-11.33,-10.61,-10.83,-4.47,-14.14,-12.84,-7.07,-11.91,-10.02,1.38,0.12,0.94,0.68,-8.46,0.681049007
1978m11,2.14,0.73,2.86,6.17,5.09,2.99,2.59,5.19,3,2.71,2.81,-2.15,1.13,-1.17,0.7,5.45,0.489601814
1978m12,1.7,-0.61,1.44,2.81,6.42,0.09,-0.6,3.41,-1.23,0.88,1.13,-2.13,2.01,-1.32,0.78,3.03,0.194290541
1979m01,4.2,5.08,6.53,3.12,4.3,3.66,5.75,1.42,6.36,4.23,3.78,2.19,-2.47,1.52,0.77,-1.36,0.966351199
1979m02,-3.51,-3.59,-4.49,0.63,-3.32,-0.63,-4.42,-4.52,-1.63,-3.56,0.54,1.17,-1.12,0.94,0.73,-1.06,0.041793112
1979m03,4.13,6.61,7.35,9.36,7.61,0.16,6.15,5.04,2.33,5.68,3.24,-0.71,0.53,0.32,0.81,2.93,0.70349247
1979m04,0.2,2.95,-0.46,4.33,0.32,-2.15,0.87,0.43,-2.74,-0.06,2.37,1.12,1.08,0.17,0.8,0.81,0.124978172
1979m05,-1.77,-0.71,-2.29,-2.43,-1.96,0.1,-2.43,-2.64,1.43,-2.21,0.18,1.31,-1.54,-0.27,0.82,-0.54,0.095954321
1979m06,3.31,3.01,3.5,9.26,0.5,1.92,2.86,4.83,4.97,3.85,1,1.44,-1.66,-0.52,0.81,0.84,0.413378031
1979m07,2.03,2.06,2.03,1.58,-1.51,-0.11,1.18,0.15,2.08,0.82,1.27,1.86,-0.29,0.71,0.77,-1.07,0.712393357
1979m08,7.55,4.7,7.72,7.89,5.93,1.53,8.89,8.56,2.04,5.53,1.92,-1.58,1.62,-1.48,0.77,-0.2,0.079158122
